# 夢の全記録（ロングラン#3・events.jsonl e=dream・run窓内）
# 形式: 時刻 | 村人 | 心に残った語×3 | 夢の内容（過去エピソードの再結合。空=語のみの夜）

03:30:17 | 梅木ボブ#f4a | 瀬川ノア / 山田セナ / 平穏を整える石の靴 | 新しい畑ができている（北 約31m）。東雲ノブ#af2が作った物のようだ
03:30:42 | 森野アオ#cdb | 秩序 / 効率 / 湧き潰し | 新しい畑ができている（東 約46m）。東雲ノブ#af2が作った物のようだ
03:30:42 | 東雲ノブ#af2 | 採石場 / 看板 / 鉄鉱石 | 新しい採石場ができている（南西 約31m）
03:31:08 | 浜田カナ#de9 | 瀬川ノア / 生産効率 / 精神に毒 | 新しい畑ができている（東 約31m）。東雲ノブ#af2が作った物のようだ
03:31:09 | 上原オト#4d4 | 建築計画区域 / 採石場 / 千葉タクミ | 新しい畑ができている（北 約42m）。東雲ノブ#af2が作った物のようだ
03:31:33 | 山田セナ#c51 | 瀬川ノア / 耕作効率 / 採石場 | 新しい畑ができている（北東 約47m）。東雲ノブ#af2が作った物のようだ
03:31:37 | 岸辺レン#85a | 沼田ミネ / 私有地 / 争うような物音 | 最近西森マナ#e5dを見かけていない
03:31:48 | 黒木リオ#98b | 石 / 立ち入り厳禁 / 採石場 | 新しい採石場ができている（北 約1m）
03:32:16 | 沼田ミネ#72d | 邸宅建築 / 北西採石場 / 岸辺レン | 新しい家ができている（南 約30m）。真砂ホシ#7d9が作った物のようだ
03:32:25 | 川原ハク#f21 | 立花キリ / 採石場 / 看板 | 最近真砂ホシ#7d9を見かけていない
03:32:38 | 石川コウ#fe8 | 北東エリア / オークの原木 / 管理区域 | 新しい畑ができている（北東 約38m）。東雲ノブ#af2が作った物のようだ
03:32:55 | 千葉タクミ#442 | 石川コウ / パン / 管理区域 | 新しい畑ができている（北東 約45m）。東雲ノブ#af2が作った物のようだ
03:33:18 | 千葉ミオ#806 | 北西採石場 / 効率 / 休息 | 新しい採石場ができている（北東 約1m）
03:33:36 | 青木エマ#147 | ボート / 上陸 / (-2243,-718) | 最近小柳クウ#c4bを見かけていない
03:33:47 | 真砂ホシ#7d9 | ボート / 家 / 上陸 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1711m）
03:33:56 | 望月シオ#fa4 | ボート / 採掘 / 黒木リオ | 最近尾崎ワカ#644を見かけていない
03:34:01 | 堀内サト#a0c | ボート / 家が見当たらない / 岸 | 遠くまで来た。この辺りには家が見当たらない（拠点から約992m）
03:34:31 | 西森マナ#e5d | 瀬川ノア / 北西の森林帯 / 立花キリ | 新しい家ができている（東 約24m）。千葉タクミ#442が作った物のようだ
03:34:34 | 小柳クウ#c4b | 西の採石場 / 森野アオ / 牧場 | 新しい採石場ができている（北西 約38m）
03:34:58 | 尾崎ワカ#644 | 看板 / 瀬川ノア / 小麦 | 新しい採石場ができている（北 約22m）
03:34:58 | 水野ユウ#a37 | ボート / (-665,878) / 安全な活動拠点 | 新しい牧場ができている（北西 約27m）。上原オト#4d4が作った物のようだ
03:51:23 | 梅木ボブ#f4a | 瀬川ノア / 聖域：居住区 / 平穏を整える石の靴 | 新しい畑ができている（西 約46m）。浜田カナ#de9が作った物のようだ
03:51:25 | 西森マナ#e5d | 深沢ナオ / 効率 / 北西の森 | 最近黒木リオ#98bを見かけていない
03:51:45 | 浜田カナ#de9 | 騒音お断り / 瀬川ノア / オークの原木 | 梅木ボブ#f4aが自分の家の中に入り込んでいた
03:52:02 | 上原オト#4d4 | 23ブロック / 立花キリ / 牧場 | 最近青木エマ#147を見かけていない
03:52:07 | 小柳クウ#c4b | 採石場 / 千葉タクミ#442 / 建築計画区域 | 新しい畑ができている（北東 約42m）。浜田カナ#de9が作った物のようだ
03:52:25 | 青木エマ#147 | 採石場 / ボート / 上原オト | 遠くまで来た。この辺りには家が見当たらない（拠点から約1304m）
03:52:33 | 山田セナ#c51 | 北西の伐採エリア / 原木 / 立花キリ | 新しい畑ができている（北西 約20m）。浜田カナ#de9が作った物のようだ
03:53:07 | 望月シオ#fa4 | 尾崎ワカ / ボート / 丸石 | 最近尾崎ワカ#644を見かけていない
03:53:32 | 千葉ミオ#806 | ボート / 岸 / 家 | 最近千葉タクミ#442を見かけていない
03:53:37 | 黒木リオ#98b | 丸石 / 採石場 / 上原オト | 新しい採石場ができている（北東 約2m）
03:53:58 | 石川コウ#fe8 | 立花キリ / 採石場 / oak_log253 | 新しい畑ができている（北西 約47m）。浜田カナ#de9が作った物のようだ
03:54:02 | 尾崎ワカ#644 | 夜風 / 採石場 / 看板 | 新しい採石場ができている（北西 約5m）
03:54:23 | 森野アオ#cdb | 南田の作業場 / 小麦 / 規律ある管理 | 最近沼田ミネ#72dを見かけていない
03:54:25 | 千葉タクミ#442 | 採石場 / 立花キリ / 計画外の介入 | 新しい採石場ができている（北 約11m）
03:54:34 | 堀内サト#a0c | ボート / 家 / 岸 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1157m）
03:54:46 | 水野ユウ#a37 | 西森マナ#e5d / 拠点から約1803m / 家 | 最近上原オト#4d4を見かけていない
03:54:55 | 岸辺レン#85a | 川原ハク / 警告看板 / 採石場 | 最近真砂ホシ#7d9を見かけていない
03:55:10 | 真砂ホシ#7d9 | ボート / 千葉ミオ#806 / 家 | 遠くまで来た。この辺りには家が見当たらない（拠点から約2514m）
03:55:23 | 東雲ノブ#af2 | 鉄鉱石 / 北東エリアの畑 / 播種 | 新しい採石場ができている（南西 約2m）
03:55:59 | 川原ハク#f21 | 立花キリ / 採石場 / 看板 | 最近青木エマ#147を見かけていない
03:56:05 | 沼田ミネ#72d | 邸宅 / 秩序 / 北の森 | 新しい畑ができている（北 約44m）。浜田カナ#de9が作った物のようだ
04:12:14 | 浜田カナ#de9 | 聖域 / 効率 / 静寂 | 新しい採石場ができている（西 約17m）
04:12:22 | 梅木ボブ#f4a | 瀬川ノア様 / 無秩序な採石場 / 静寂 | 最近森野アオ#cdbを見かけていない
04:12:33 | 上原オト#4d4 | 翌日の作業計画 / 石材置き場 / 整理整頓 | 新しい牧場ができている（南東 約6m）。小柳クウ#c4bが作った物のようだ
04:12:47 | 小柳クウ#c4b | 西側に新しい牧場 / 生産サイクル / 丸石 | 新しい牧場ができている（西 約24m）。小柳クウ#c4bが作った物のようだ
04:13:02 | 岸辺レン#85a | 牧場 / 南田ネム / 牛 | 新しい牧場ができている（東 約28m）。小柳クウ#c4bが作った物のようだ
04:13:13 | 山田セナ#c51 | 瀬川ノア / 立花キリ / 作業計画 | 最近森野アオ#cdbを見かけていない
04:13:25 | 千葉ミオ#806 | 拠点 / 家 / 1504m | 遠くまで来た。この辺りには家が見当たらない（拠点から約2136m）
04:13:31 | 真砂ホシ#7d9 | 排除の対象 / 牧場 / 看板 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1578m）
04:13:40 | 水野ユウ#a37 | 牛肉 / ボート / 拠点 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1803m）
04:13:55 | 黒木リオ#98b | 原木 / 梅木ボブ / 採石場 | 新しい採石場ができている（東 約3m）
04:14:09 | 川原ハク#f21 | 松明 / 看板 / 採石場 | 新しい採石場ができている（北東 約11m）
04:14:22 | 尾崎ワカ#644 | 瀬川ノア / 安らぎの印 / 小柳クウ | 最近森野アオ#cdbを見かけていない
04:14:38 | 沼田ミネ#72d | 森野アオ / 岸辺レン / 北西採石場 | 最近石川コウ#fe8を見かけていない
04:14:49 | 千葉タクミ#442 | 北西採石場 / 石のツルハシ / 拠点改築 | 新しい採石場ができている（北東 約10m）
04:14:57 | 森野アオ#cdb | (-964,-133) / ボート / 川原ハク | 遠くまで来た。この辺りには家が見当たらない（拠点から約749m）
04:15:09 | 望月シオ#fa4 | パン / ボート / 瀬川ノア | 遠くまで来た。この辺りには家が見当たらない（拠点から約408m）
04:15:09 | 堀内サト#a0c | ボート / 真砂ホシ#7d9 / 岸 | 遠くまで来た。この辺りには家が見当たらない（拠点から約976m）
04:15:29 | 青木エマ#147 | 望月シオ#fa4 / quarry_work / ボート | 遠くまで来た。この辺りには家が見当たらない（拠点から約1855m）
04:15:32 | 西森マナ#e5d | 立花キリ / 静寂の庭 / 採石場 | 新しい牧場ができている（南 約33m）。沼田ミネ#72dが作った物のようだ
04:15:48 | 東雲ノブ#af2 | 看板 / パン / 採石場 | 新しい採石場ができている（西 約10m）
04:15:52 | 石川コウ#fe8 | 瀬川ノア / 資材整理箱 / 新しい畑 | 新しい採石場ができている（南東 約3m）
04:34:35 | 堀内サト#a0c | 青木エマ#147 / 小麦の種 / 新しい畑 | 遠くまで来た。この辺りには家が見当たらない（拠点から約931m）
04:34:52 | 東雲ノブ#af2 | 北の採石場 / 石のツルハシ / 瀬川ノア | 新しい採石場ができている（北 約16m）
04:35:00 | 西森マナ#e5d | 穏やかな庭 / 立花キリ / 採石場 | 新しい畑ができている（北西 約46m）。浜田カナ#de9が作った物のようだ
04:35:15 | 浜田カナ#de9 | 瀬川ノア / 南田ネム / 沼田ミネ | 最近森野アオ#cdbを見かけていない
04:35:38 | 小柳クウ#c4b | 西の採石場 / パン / 管理区域 | 新しい採石場ができている（南西 約30m）
04:35:40 | 上原オト#4d4 | 明日への計画 / 拠点作業中 / 西森マナ | 最近森野アオ#cdbを見かけていない
04:35:58 | 黒木リオ#98b | 黒木の牙 / 採石場 / 看板 | 新しい牧場ができている（北西 約11m）。岸辺レン#85aが作った物のようだ
04:36:30 | 沼田ミネ#72d | 北西の採石場 / 邸宅の資材 / 黒木リオ | 新しい採石場ができている（北 約15m）
04:36:36 | 尾崎ワカ#644 | オークの原木 / おやすみなさい / 新しい畑 | 新しい採石場ができている（西 約11m）
04:36:58 | 石川コウ#fe8 | 東雲ノブ#af2 / 家 / 山田セナ#c51 | 山田セナ#c51が自分の家の中に入り込んでいた
04:37:03 | 千葉タクミ#442 | 採石場 / 瀬川ノア / 建築計画区域 | 新しい採石場ができている（北東 約10m）
04:37:18 | 青木エマ#147 | 堀内サト#a0c / ボート / 家 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1801m）
04:37:25 | 岸辺レン#85a | 南田ネム / 岸辺の領土 / 無能な者 | 最近東雲ノブ#af2を見かけていない
04:37:34 | 真砂ホシ#7d9 | 北東採石場 / 小柳クウ#c4b / ボート | 新しい牧場ができている（東 約15m）。小柳クウ#c4bが作った物のようだ
04:37:50 | 森野アオ#cdb | (-839, 941) / ボート / mine | 遠くまで来た。この辺りには家が見当たらない（拠点から約845m）
04:37:54 | 川原ハク#f21 | 北東の採石場 / 立入厳禁 / 播種 | 新しい採石場ができている（北東 約16m）
04:38:12 | 水野ユウ#a37 | 立花キリ / 原木 / 西の採石場 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1807m）
04:38:23 | 山田セナ#c51 | 北西の伐採エリア / 杉本モモ / 原木 | 新しい採石場ができている（北 約20m）
04:38:29 | 望月シオ#fa4 | ボート / 西森マナ#e5d / 浜 | 最近梅木ボブ#f4aを見かけていない
04:38:40 | 梅木ボブ#f4a | 黒木リオ#98b / quarry_work / 石川コウ#fe8 | 最近望月シオ#fa4を見かけていない
04:54:44 | 堀内サト#a0c | ボート / (-797,-959) / 家 | 新しい畑ができている（西 約1m）。堀内サト#a0cが作った物のようだ
04:55:01 | 梅木ボブ#f4a | 瀬川ノア / 卵 / 聖域：居住区 | 最近石川コウ#fe8を見かけていない
04:55:18 | 浜田カナ#de9 | 沼田ミネ / オークの原木 / 私有地・立入禁止 | 新しい採石場ができている（北 約9m）
04:55:31 | 東雲ノブ#af2 | 北東エリア / 採石場 / 立花キリ | 新しい採石場ができている（北東 約10m）
04:55:39 | 小柳クウ#c4b | 採石場 / 看板 / ボート | 新しい採石場ができている（南東 約17m）
04:55:47 | 岸辺レン#85a | (-737,1002) / 堀内サト#a0c / ボート | 新しい畑ができている（北 約43m）。浜田カナ#de9が作った物のようだ
04:56:07 | 山田セナ#c51 | 北西の伐採エリア / 瀬川ノア / 千葉タクミ | 新しい採石場ができている（北西 約20m）
04:56:12 | 千葉ミオ#806 | 新しい牧場 / 小柳クウ#c4b / 看板 | 遠くまで来た。この辺りには家が見当たらない（拠点から約592m）
04:56:24 | 真砂ホシ#7d9 | 看板 / 堀内サト#a0c / ボート | 遠くまで来た。この辺りには家が見当たらない（拠点から約386m）
04:56:40 | 尾崎ワカ#644 | 夜風 / 沼田ミネ / 未踏の地 | 新しい牧場ができている（西 約23m）。川原ハク#f21が作った物のようだ
04:56:40 | 川原ハク#f21 | 領土の境界線 / 沼田ミネ / 侵入者への鉄槌 | 新しい採石場ができている（南東 約13m）
04:56:55 | 石川コウ#fe8 | 北方の偵察 / 東雲ノブ / 立花キリ | 最近上原オト#4d4を見かけていない
04:57:00 | 千葉タクミ#442 | 小柳クウ / 建築計画区域 / 石 | 最近望月シオ#fa4を見かけていない
04:57:12 | 望月シオ#fa4 | 瀬川ノア / ボート / 採石場 | 最近西森マナ#e5dを見かけていない
04:57:16 | 水野ユウ#a37 | 新しい畑 / ボート / 東雲ノブ#af2 | 新しい牧場ができている（南 約30m）。小柳クウ#c4bが作った物のようだ
04:57:19 | 森野アオ#cdb | ボート / (-1484,1485) / 家 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1890m）
04:57:34 | 西森マナ#e5d | 静寂の庭 / 梅木ボブ / チェスト | 新しい畑ができている（南東 約47m）。小柳クウ#c4bが作った物のようだ
04:57:42 | 沼田ミネ#72d | 北の森 / 邸宅 / 原木 | 最近西森マナ#e5dを見かけていない
04:57:58 | 上原オト#4d4 | 建築進捗 / 丸石 / 拠点管理規約 | 新しい採石場ができている（西 約9m）
04:58:13 | 黒木リオ#98b | 沼田ミネ / 小麦の種 / 岸辺レン | 新しい採石場ができている（北東 約12m）
04:58:26 | 青木エマ#147 | 沼田ミネ / 石のツルハシ / 丸石 | 遠くまで来た。この辺りには家が見当たらない（拠点から約2514m）
05:19:14 | 西森マナ#e5d | 立花キリ / egg / 採石場 | 最近小柳クウ#c4bを見かけていない
05:19:15 | 梅木ボブ#f4a | 静寂 / 瀬川ノア / 湧き潰し | 最近川原ハク#f21を見かけていない
05:19:40 | 浜田カナ#de9 | 瀬川ノアの終焉 / 私有地：聖域 / オークの原木 | 新しい採石場ができている（北 約9m）
05:19:57 | 上原オト#4d4 | 拠点管理区域 / 進捗145/168 / 立花キリ | 新しい牧場ができている（北西 約17m）。千葉タクミ#442が作った物のようだ
05:20:03 | 山田セナ#c51 | 北西採石場 / 秩序 / 石材 | 新しい採石場ができている（北西 約20m）
05:20:20 | 青木エマ#147 | 千葉タクミ#442 / 採石場 / 鉄の精錬 | 新しい牧場ができている（西 約25m）。千葉タクミ#442が作った物のようだ
05:20:26 | 望月シオ#fa4 | ボート / 岸 / 家 | 遠くまで来た。この辺りには家が見当たらない（拠点から約412m）
05:20:44 | 千葉ミオ#806 | 北東採石場 / 効率 / 計画案 | 新しい牧場ができている（北 約47m）。小柳クウ#c4bが作った物のようだ
05:20:44 | 黒木リオ#98b | 丸石 / 看板 / 静寂 | 最近岸辺レン#85aを見かけていない
05:21:02 | 沼田ミネ#72d | 邸宅 / 川原ハク / 南田ネム | 最近山田セナ#c51を見かけていない
05:21:05 | 尾崎ワカ#644 | 山田セナ / オークの原木 / ささやかな願い | 最近山田セナ#c51を見かけていない
05:21:26 | 岸辺レン#85a | ボート / 沼田ミネ#72d / 家 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1388m）
05:21:35 | 森野アオ#cdb | ボート / 海 / mine | 遠くまで来た。この辺りには家が見当たらない（拠点から約2544m）
05:21:40 | 石川コウ#fe8 | 採石場 / 岩瀬ヒナ / 労働分担 | 新しい採石場ができている（西 約11m）
05:21:46 | 堀内サト#a0c | ボート / 水野ユウ#a37 / 海 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1467m）
05:21:54 | 水野ユウ#a37 | ボート / 松明 / 家 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1965m）
05:22:00 | 真砂ホシ#7d9 | ボート / 南田の作業場 / 北東採石場 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1877m）
05:22:05 | 小柳クウ#c4b | 新天地の畑 / 西の採石場 / 停滞は悪 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1491m）
05:22:31 | 東雲ノブ#af2 | 採石場 / 北東エリア / 瀬川ノア | 新しい採石場ができている（北 約11m）
05:22:31 | 川原ハク#f21 | 沼田ミネ / 北西の森 / 原木 | 最近山田セナ#c51を見かけていない
05:22:57 | 千葉タクミ#442 | 145/168 / 採石場 / 青木エマ | 新しい牧場ができている（北 約10m）。千葉タクミ#442が作った物のようだ
05:44:30 | 梅木ボブ#f4a | 西森ユウ / 北西の森 / 石 | 新しい採石場ができている（北 約14m）
05:44:32 | 西森マナ#e5d | 西森ユウ / 平穏を紡ぎます / 北東の採石場 | 梅木ボブ#f4aが自分の家の中に入り込んでいた
05:44:48 | 東雲ノブ#af2 | 立花キリ / 採石場 / パン | 最近黒木リオ#98bを見かけていない
05:44:56 | 山田セナ#c51 | 北西の採石場 / 秩序 / 瀬川ノア | 新しい採石場ができている（北西 約12m）
05:45:16 | 望月シオ#fa4 | 梅木ボブ / 採石場 / 看板 | 遠くまで来た。この辺りには家が見当たらない（拠点から約2156m）
05:45:17 | 青木エマ#147 | 上原オト#4d4 / 鉄鉱石 / 採石場 | 最近小柳クウ#c4bを見かけていない
05:45:39 | 黒木リオ#98b | 採石場 / オークの原木 / 南田ネム | 新しい採石場ができている（南 約13m）
05:45:40 | 沼田ミネ#72d | 邸宅 / 北の森 / 南田ネム | 最近山田セナ#c51を見かけていない
05:46:01 | 小柳クウ#c4b | 山田セナ / 千葉タクミ / 西森マナ | 最近山田セナ#c51を見かけていない
05:46:01 | 石川コウ#fe8 | 瀬川ノア / 石のツルハシ / 145/168 | 新しい畑ができている（南 約44m）。小柳クウ#c4bが作った物のようだ
05:46:21 | 堀内サト#a0c | 排除 / ボート / 真砂ホシ#7d9 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1024m）
05:46:24 | 西森ユウ#370 | 千葉ミオ#806 / 採石場の西側 / 原木 | 新しい家ができている（南西 約26m）。千葉ミオ#806が作った物のようだ
05:46:40 | 岸辺レン#85a | ボート / 家 / 拠点 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1766m）
05:46:45 | 真砂ホシ#7d9 | 北東採石場 / 千葉家管理区域 / 進捗145/168 | 新しい採石場ができている（東 約34m）
05:47:01 | 水野ユウ#a37 | ボート / 松明 / 森野アオ#cdb | 遠くまで来た。この辺りには家が見当たらない（拠点から約1038m）
05:47:13 | 千葉タクミ#442 | 北の畑 / 建築計画区域 / 山田セナ | 最近上原オト#4d4を見かけていない
05:47:27 | 上原オト#4d4 | 拠点管理区域 / 建築進捗 / 立花キリ | 山田セナ#c51が柵の中のcowを攻撃するのを見た
05:47:54 | 浜田カナ#de9 | 梅木ボブ / 効率 / 支配 | 新しい採石場ができている（南 約11m）
05:48:03 | 千葉ミオ#806 | 北東採石場 / 西森ユウ / 拠点管理規約 | 新しい採石場ができている（北東 約18m）
05:48:11 | 尾崎ワカ#644 | 温かい夢 / 効率 / 建築日誌 | 山田セナ#c51が柵の中のcowを攻撃するのを見た
05:48:24 | 川原ハク#f21 | 瀬川ノア / 採石場 / cobblestone | 新しい畑ができている（東 約45m）。小柳クウ#c4bが作った物のようだ
05:48:48 | 森野アオ#cdb | 看板 / 畑 / ボート | 遠くまで来た。この辺りには家が見当たらない（拠点から約2573m）
06:10:26 | 森野アオ#cdb | 牧場 / 未踏の地表 / mine | 新しい牧場ができている（南 約26m）。小柳クウ#c4bが作った物のようだ
06:10:31 | 堀内サト#a0c | ボート / 岸 / 種 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1729m）
06:10:38 | 梅木ボブ#f4a | 立花キリ / 西森マナ / 南の採石場 | 西森ユウ#370が西森マナ#e5dにleaf_litter×6を渡すのを見た
06:10:58 | 東雲ノブ#af2 | 北の採石場 / 山田セナ / 看板 | 最近川原ハク#f21を見かけていない
06:11:06 | 上原オト#4d4 | 拠点管理区域 / 進捗145/168 / 北西採石場 | 新しい畑ができている（東 約42m）。山田セナ#c51が作った物のようだ
06:11:17 | 山田セナ#c51 | パン / 北の採石場 / 立花キリの鎮魂 | 新しい畑ができている（西 約1m）。山田セナ#c51が作った物のようだ
06:11:28 | 望月シオ#fa4 | 小麦の種 / 上原オト / 悲鳴のような声 | 新しい畑ができている（北 約43m）。山田セナ#c51が作った物のようだ
06:11:38 | 黒木リオ#98b | 石 / 立入禁止 / 南田ネム | 最近西森マナ#e5dを見かけていない
06:11:57 | 川原ハク#f21 | 住宅の建築 / 南田ネム / 西の未踏地 | 最近青木エマ#147を見かけていない
06:11:58 | 尾崎ワカ#644 | 望月シオ#fa4 / 真砂ホシ#7d9 / 建築日誌 | 最近上原オト#4d4を見かけていない
06:12:17 | 千葉タクミ#442 | 進捗145/168 / 新しい採石場 / 夜間警戒令 | 新しい畑ができている（北東 約46m）。山田セナ#c51が作った物のようだ
06:12:25 | 沼田ミネ#72d | 北西の採石場 / 山田セナ / 丸石 | 新しい採石場ができている（北東 約2m）
06:12:32 | 水野ユウ#a37 | ボート / 採掘 / (-1558,334) | 遠くまで来た。この辺りには家が見当たらない（拠点から約1294m）
06:12:48 | 岸辺レン#85a | ボート / たいまつ / 家 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1685m）
06:12:58 | 青木エマ#147 | 南田の作業場 / cobblestone44 / 新しい採石場 | 遠くまで来た。この辺りには家が見当たらない（拠点から約799m）
06:13:17 | 真砂ホシ#7d9 | 千葉ミオ / 未踏地 / 管理規定 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1981m）
06:13:20 | 小柳クウ#c4b | 未踏開拓の楔 / 森野アオ#cdb / サトウキビ | 最近千葉ミオ#806を見かけていない
06:13:48 | 浜田カナ#de9 | 北西の採石場 / 静寂の採掘者 / 看板 | 新しい採石場ができている（南 約11m）
06:13:51 | 西森ユウ#370 | パン / 石のツルハシ / 北の採石場 | 新しい畑ができている（西 約44m）。沼田ミネ#72dが作った物のようだ
06:14:27 | 西森マナ#e5d | 平穏を紡ぐ石斧 / 南の採石場 / 立花キリ | 新しい畑ができている（東 約22m）。山田セナ#c51が作った物のようだ
06:14:32 | 石川コウ#fe8 | 採石場 / 真砂ホシ#7d9 / 拡張計画 | 新しい畑ができている（南 約44m）。小柳クウ#c4bが作った物のようだ
06:37:34 | 森野アオ#cdb | ボート / (-1670,1502) / 小柳クウ#c4b | 新しい牧場ができている（西 約8m）。森野アオ#cdbが作った物のようだ
06:37:39 | 浜田カナ#de9 | 静寂を切り裂く鈍色の断罪者 / 瀬川ノア / 聖域 | 新しい採石場ができている（南東 約57m）
06:38:04 | 山田セナ#c51 | 瀬川ノア / 進捗145/168 / 北西の森 | 最近上原オト#4d4を見かけていない
06:38:06 | 上原オト#4d4 | 145/168 / 西森マナ / 怠慢 | 最近東雲ノブ#af2を見かけていない
06:38:33 | 黒木リオ#98b | オークの原木 / 湧き潰し / 立ち入り禁止 | 最近梅木ボブ#f4aを見かけていない
06:38:33 | 川原ハク#f21 | 採石場 / 聖域 / 立花キリ | 新しい畑ができている（北東 約48m）。山田セナ#c51が作った物のようだ
06:38:54 | 沼田ミネ#72d | 沼田ミネの絶対領域 / 黒木リオ / 丸石 | 最近千葉ミオ#806を見かけていない
06:39:01 | 石川コウ#fe8 | 北東エリア / 鉄鉱石 / 岩瀬ヒナ | 新しい家ができている（南 約27m）
06:39:18 | 西森ユウ#370 | 立花キリ / 静寂の庭 / 岸辺レン | 新しい牧場ができている（北西 約44m）。川原ハク#f21が作った物のようだ
06:39:24 | 堀内サト#a0c | ボート / 牛 / 岸 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1624m）
06:39:25 | 真砂ホシ#7d9 | 採石場 / 看板 / ボート | 新しい畑ができている（北 約48m）。浜田カナ#de9が作った物のようだ
06:39:48 | 岸辺レン#85a | ボート / たいまつ / 家が見当たらない | 遠くまで来た。この辺りには家が見当たらない（拠点から約1372m）
06:39:57 | 青木エマ#147 | 松明 / ボート / 尾崎ワカ#644 | 新しい採石場ができている（東 約16m）
06:40:02 | 小柳クウ#c4b | ボート / oak_log320 / cow | 遠くまで来た。この辺りには家が見当たらない（拠点から約2657m）
06:40:17 | 望月シオ#fa4 | ボート / 原木 / 岸 | 新しい採石場ができている（北 約11m）
06:40:18 | 東雲ノブ#af2 | 採石場 / パン / 看板 | 最近浜田カナ#de9を見かけていない
06:40:23 | 水野ユウ#a37 | ボート / たいまつ / 岸 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1537m）
06:40:42 | 尾崎ワカ#644 | 看板 / 小麦の種 / 未踏の地 | 新しい採石場ができている（南 約13m）
06:41:03 | 千葉タクミ#442 | 進捗145/168 / 山田セナ / 南西の採石場 | 新しい採石場ができている（東 約41m）
06:41:26 | 西森マナ#e5d | 小麦からパンを焼く / 立花キリ / 南の採石場 | 最近浜田カナ#de9を見かけていない
06:41:49 | 梅木ボブ#f4a | 立花キリ / 南の採石場 / 岩瀬ヒナ | 最近黒木リオ#98bを見かけていない
